Sentence,Polarity
Things are simply okay right now.,neutral
The people around me bring me happiness.,positive
Nothing special happened today.,neutral
Today feels like a constant battle.,negative
Things are simply okay right now.,neutral
I am proud of what I accomplished today.,positive
"It was an average day, nothing more.",neutral
There’s nothing noteworthy about today.,neutral
I'm feeling neutral about most things right now.,neutral
I feel overwhelmed and anxious about everything.,negative
I'm grateful for the positive changes in my life.,positive
"It was an average day, nothing more.",neutral
It’s just a typical day for me.,neutral
"Today, I feel calm and at peace.",positive
I'm frustrated with my situation.,negative
"Today, I feel calm and at peace.",positive
I'm filled with positive thoughts.,positive
Nothing special happened today.,neutral
Nothing out of the ordinary occurred.,neutral
Everything seems as it usually is.,neutral
The people around me bring me happiness.,positive
"My energy levels are high, and I feel motivated.",positive
There’s nothing noteworthy about today.,neutral
My day was neither good nor bad.,neutral
Just getting through the day as always.,neutral
"Today, I feel truly happy and content.",positive
I'm feeling very optimistic today.,positive
"It was an average day, nothing more.",neutral
I'm enthusiastic about the future.,positive
I feel a strong sense of purpose today.,positive
I feel a strong sense of purpose today.,positive
I’m not feeling much of anything today.,neutral
"My energy levels are high, and I feel motivated.",positive
I don't feel strongly one way or the other.,neutral
Things are simply okay right now.,neutral
I don't feel strongly one way or the other.,neutral
Today went by without much thought.,neutral
I've been productive and feel satisfied.,positive
I appreciate the little things in life.,positive
There’s a cloud of sadness over me.,negative
Nothing seems to be going my way.,negative
I am surrounded by supportive people.,positive
I'm feeling down and unmotivated today.,negative
Today feels overwhelmingly negative.,negative
The day has been plain and simple.,neutral
I am in a good place mentally and emotionally.,positive
"Today, I feel truly happy and content.",positive
I can't see the light at the end of the tunnel.,negative
The day has been plain and simple.,neutral
It's difficult to focus on anything.,negative
Everything seems as it usually is.,neutral
I don't know how to handle these feelings.,negative
I am proud of what I accomplished today.,positive
Everything seems to be falling into place.,positive
I feel neither happy nor sad.,neutral
I'm struggling with my mental health.,negative
I don't feel strongly one way or the other.,neutral
Today feels like a constant battle.,negative
I'm enthusiastic about the future.,positive
I’m feeling mentally drained.,negative
Everything seems to be falling into place.,positive
I appreciate the little things in life.,positive
I appreciate the little things in life.,positive
Everything seems as it usually is.,neutral
I'm enthusiastic about the future.,positive
I'm grateful for the positive changes in my life.,positive
Today was quite ordinary and uneventful.,neutral
I am surrounded by supportive people.,positive
I don't know how to handle these feelings.,negative
I've been productive and feel satisfied.,positive
The future looks bright and full of potential.,positive
I feel emotionally exhausted and drained.,negative
My motivation has completely disappeared.,negative
There’s a cloud of sadness over me.,negative
I am surrounded by supportive people.,positive
I'm enthusiastic about the future.,positive
I am proud of the progress I've made.,positive
Today went by without much thought.,neutral
I feel emotionally exhausted and drained.,negative
Today is one of those tough days.,negative
I've been productive and feel satisfied.,positive
I'm feeling isolated and lonely.,negative
The future seems bleak and uncertain.,negative
"It was an average day, nothing more.",neutral
I'm feeling very optimistic today.,positive
I feel a strong sense of purpose today.,positive
I'm not particularly focused on anything.,neutral
Today is one of those tough days.,negative
I’m not feeling much of anything today.,neutral
It's difficult to focus on anything.,negative
I feel emotionally exhausted and drained.,negative
I'm feeling isolated and lonely.,negative
Today feels overwhelmingly negative.,negative
I am proud of what I accomplished today.,positive
I appreciate the little things in life.,positive
I feel a strong sense of purpose today.,positive
Everything seems to be falling into place.,positive
The future looks bright and full of potential.,positive
Today was quite ordinary and uneventful.,neutral
There’s a cloud of sadness over me.,negative
"Today, I feel calm and at peace.",positive
"It's a beautiful day, and I'm enjoying every moment.",positive
Every task feels like a burden today.,negative
